,ID,PreisProQM,Added here,Link,Zimmer,Schlafzimmer,Badezimmer,Wohnfläche ca.,Gesamtmiete,Kaltmiete,Grundriss,Stadtteil,Address,Etage,Objektzustand,Bezugsfrei ab,Typ,Nutzfläche ca.,Nebenkosten,Heizkosten,Ausstattung,Baujahr,Besonderheiten,Bonitätsauskunft,Endenergiebedarf,Energieausweis,Energieausweistyp,Energieeffizienzklasse,Energieverbrauchskennwert,Garage/ Stellplatz,Haustiere,Heizungsart,Internet,Modernisierung/ Sanierung,Wesentliche Energieträger
59,105572121,20.46,07_16,https://www.immobilienscout24.de/expose/105572121,3.0,2,1,69.3,1418,1248,Yep,Neukölln,"Kienitzer Straße 100, 12049 Berlin, Neukölln (Neukölln)",1 von 5,Modernisiert,01.07.2018,Etagenwohnung,69.3,100,70,Gehobene Qualität,1900,"Keller, Einbauküche",SCHUFA-BonitätsCheck anfordern,146 kWh/(m²*a),liegt vor,Bedarfsausweis,KA,KA,KA,Nach Vereinbarung,Zentralheizung,Geschwindigkeit prüfen,zuletzt 2018,Fernwärme
60,106146805,12.77,07_16,https://www.immobilienscout24.de/expose/106146805,3.0,KA,1,77.2,986,710,Yep,Kreuzberg,"Falckensteinstraße 37, 10997 Berlin, Kreuzberg (Kreuzberg)",1 von 4,Gepflegt,ab sofort,Etagenwohnung,KA,276,in Nebenkosten enthalten,Normale Qualität,1890,Keller,erforderlich,KA,KA,KA,KA,KA,KA,KA,Zentralheizung,Geschwindigkeit prüfen,zuletzt 2012,Gas
61,106155344,12.86,07_16,https://www.immobilienscout24.de/expose/106155344,4.0,KA,KA,98.0,1260,980,Yep,Wedding,"Liebenwalder Str. 20, 13347 Berlin, Wedding (Wedding)",4 von 4,Saniert,ab sofort,Sonstige,KA,280,in Nebenkosten enthalten,KA,KA,Keine Besonderheiten,SCHUFA-BonitätsCheck anfordern,KA,liegt vor,KA,KA,KA,KA,KA,KA,Verfügbarkeit prüfen,KA,KA
62,105751513,12.18,07_16,https://www.immobilienscout24.de/expose/105751513,3.0,KA,1,82.0,999,749,No,Neukölln,"Sonnenallee 277, 12057 Berlin, Neukölln (Neukölln)",8,Modernisiert,sofort,Etagenwohnung,KA,190,60,Normale Qualität,1971,"Balkon/ Terrasse, Personenaufzug, Gäste-WC, WG-geeignet",SCHUFA-BonitätsCheck anfordern,KA,liegt vor,Verbrauchsausweis,KA,"130,4 kWh/(m²*a)",KA,Nach Vereinbarung,Zentralheizung,Geschwindigkeit prüfen,zuletzt 2018,Fernwärme
63,106070307,16.07,07_16,https://www.immobilienscout24.de/expose/106070307,3.0,KA,KA,96.03,1543,1239,Yep,Prenzlauer Berg,"Prenzlauer Allee 184, 10405 Berlin, Prenzlauer Berg (Prenzlauer Berg)",4,Gepflegt,01.08.2018,Etagenwohnung,KA,304,,KA,1906,Balkon/ Terrasse,SCHUFA-BonitätsCheck anfordern,KA,KA,Verbrauchsausweis,KA,121 kWh/(m²*a),KA,KA,Fernwärme,Geschwindigkeit prüfen,KA,Gas
64,105190969,12.33,07_16,https://www.immobilienscout24.de/expose/105190969,3.0,KA,1,81.0,999,749,No,Neukölln,"Dieselstr. 7, 12057 Berlin, Neukölln (Neukölln)",16,Gepflegt,sofort,Etagenwohnung,KA,190,60,Normale Qualität,1973,"Balkon/ Terrasse, Personenaufzug, WG-geeignet",SCHUFA-BonitätsCheck anfordern,KA,liegt vor,Verbrauchsausweis,KA,"112,9 kWh/(m²*a)",KA,Nach Vereinbarung,Fernwärme,Geschwindigkeit prüfen,KA,Fernwärme
65,105343666,14.92,07_16,https://www.immobilienscout24.de/expose/105343666,3.0,2,1,110.0,1641,1425,No,Unknown,10439 Berlin Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.,4 von 4,Gepflegt,sofort,Etagenwohnung,110,216,nicht in Nebenkosten enthalten,Normale Qualität,1900,"Balkon/ Terrasse, Einbauküche",erforderlich,"151,7 kWh/(m²*a)",liegt vor,Bedarfsausweis,KA,KA,KA,Nach Vereinbarung,Etagenheizung,Geschwindigkeit prüfen,KA,Erdgas leicht
66,105602344,15.67,07_16,https://www.immobilienscout24.de/expose/105602344,3.0,KA,1,105.0,1645,1495,Yep,Wedding,"Gerichtstrasse 19, 13347 Berlin, Wedding (Wedding)",5 von 5,Erstbezug nach Sanierung,15.07.2018,Dachgeschoss,KA,150,in Nebenkosten enthalten,Luxus,KA,"Balkon/ Terrasse, Keller, Einbauküche, Garten/ -mitbenutzung, WG-geeignet",SCHUFA-BonitätsCheck anfordern,148 kWh/(m²*a),liegt vor,Bedarfsausweis,A+,KA,KA,Nach Vereinbarung,Öl-Heizung,Geschwindigkeit prüfen,zuletzt 2018,Öl
67,106114218,17.28,07_16,https://www.immobilienscout24.de/expose/106114218,3.0,2,2,89.47,1546,1252,No,Prenzlauer Berg,"Straßburger Straße 6 A, 10405 Berlin, Prenzlauer Berg (Prenzlauer Berg)",KA,Neuwertig,sofort,Etagenwohnung,KA,141,53,Gehobene Qualität,2015,"Balkon/ Terrasse, Personenaufzug, Einbauküche, Gäste-WC",SCHUFA-BonitätsCheck anfordern,70 kWh/(m²*a),KA,Bedarfsausweis,KA,KA,1 Garage,KA,KA,KA,KA,Gas
68,105641453,17.09,07_16,https://www.immobilienscout24.de/expose/105641453,3.0,1,1,94.0,1606,1450,Yep,Prenzlauer Berg,"Danziger Straße 14, 10435 Berlin, Prenzlauer Berg (Prenzlauer Berg)",3 von 5,KA,15.09.2018,Etagenwohnung,94,216,60,Gehobene Qualität,unbekannt,"Balkon/ Terrasse, Keller, Personenaufzug, Einbauküche",SCHUFA-BonitätsCheck anfordern,KA,KA,KA,KA,KA,KA,Nein,Etagenheizung,Geschwindigkeit prüfen,zuletzt 2016,Gas
69,105915465,18.15,07_16,https://www.immobilienscout24.de/expose/105915465,3.0,KA,KA,74.38,1350,1150,Yep,Neukölln,"Elsenstraße 61, 12059 Berlin, Neukölln (Neukölln)",4 von 4,Gepflegt,sofort,Etagenwohnung,KA,120,80,KA,1930,"Balkon/ Terrasse, Einbauküche, WG-geeignet",KA,KA,liegt vor,Verbrauchsausweis,D,KA,KA,KA,Fernwärme,Geschwindigkeit prüfen,KA,Fernwärme
70,104321206,12.59,07_16,https://www.immobilienscout24.de/expose/104321206,4.0,KA,1,119.08,1499,1199,No,Unknown,10439 Berlin Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.,0,Modernisiert,01.02.2018,Sonstige,KA,300,in Nebenkosten enthalten,KA,1902,Einbauküche,SCHUFA-BonitätsCheck anfordern,KA,liegt vor,Verbrauchsausweis,KA,143 kWh/(m²*a),KA,KA,Zentralheizung,KA,KA,Gas
71,105451566,14.62,07_16,https://www.immobilienscout24.de/expose/105451566,3.0,3,1,107.4,1570,1330,No,Mitte,"Linienstraße 134, 10115 Berlin, Mitte (Mitte)",3 von 5,Saniert,sofort,Etagenwohnung,KA,160,110,KA,1895,"Personenaufzug, Gäste-WC, WG-geeignet",SCHUFA-BonitätsCheck anfordern,KA,liegt vor,Verbrauchsausweis,KA,"140,9 kWh/(m²*a)",KA,KA,Zentralheizung,Geschwindigkeit prüfen,KA,Gas
72,104577164,18.26,07_16,https://www.immobilienscout24.de/expose/104577164,3.0,KA,1,86.0,1570,1350,Yep,Neukölln,"Am Sudhaus 1A, 12053 Berlin, Neukölln (Neukölln)",4 von 5,Erstbezug,ab sofort,Etagenwohnung,KA,220,in Nebenkosten enthalten,Gehobene Qualität,2018,"Balkon/ Terrasse, Keller, Personenaufzug, Einbauküche, Stufenloser Zugang",SCHUFA-BonitätsCheck anfordern,"39,3 kWh/(m²*a)",liegt vor,Bedarfsausweis,KA,KA,1 Tiefgaragen-Stellplatz,Nein,Fußbodenheizung,Geschwindigkeit prüfen,zuletzt 2018,Fernwärme
73,105746361,15.22,07_16,https://www.immobilienscout24.de/expose/105746361,3.0,KA,KA,78.76,1199,986,No,Neukölln,"Wildenbruchstraße 9, 12045 Berlin, Neukölln (Neukölln)",3,Gepflegt,01.09.2018,Etagenwohnung,78.76,213,,Gehobene Qualität,1927,"Balkon/ Terrasse, WG-geeignet",SCHUFA-BonitätsCheck anfordern,KA,liegt vor,Verbrauchsausweis,KA,107 kWh/(m²*a),KA,Nach Vereinbarung,Zentralheizung,Geschwindigkeit prüfen,KA,Fernwärme
74,105002626,16.64,07_16,https://www.immobilienscout24.de/expose/105002626,3.0,1,1,89.0,1481,1201,No,Neukölln,"Sonnenallee 149, 12059 Berlin, Neukölln (Neukölln)",5 von 5,Vollständig renoviert,KA,Dachgeschoss,KA,140,140,Normale Qualität,1902,"Balkon/ Terrasse, Personenaufzug",SCHUFA-BonitätsCheck anfordern,KA,liegt vor,Verbrauchsausweis,KA,138 kWh/(m²*a),KA,Nach Vereinbarung,Zentralheizung,Geschwindigkeit prüfen,zuletzt 2017,Öl
75,106092241,16.0,07_16,https://www.immobilienscout24.de/expose/106092241,3.0,2,1,90.04,1441,1216,Yep,Mitte,"Rosa-Luxemburg-Straße 5, 10178 Berlin-Mitte, Mitte (Mitte)",3 von 5,Gepflegt,sofort,Etagenwohnung,90.04,128,97,Normale Qualität,1881,"Keller, Personenaufzug, Einbauküche, Gäste-WC",erforderlich,127 kWh/(m²*a),liegt vor,Bedarfsausweis,KA,KA,KA,KA,Zentralheizung,Geschwindigkeit prüfen,KA,Fernwärme
76,106034992,18.14,07_16,https://www.immobilienscout24.de/expose/106034992,3.0,KA,1,91.31,1656,1426,No,Prenzlauer Berg,"Immanuelkirchstraße 4, 10405 Berlin, Prenzlauer Berg (Prenzlauer Berg)",5 von 5,KA,01.08.2018,Dachgeschoss,KA,140,90,KA,KA,"Balkon/ Terrasse, Einbauküche",SCHUFA-BonitätsCheck anfordern,KA,KA,KA,KA,KA,KA,KA,KA,Geschwindigkeit prüfen,KA,KA
